Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	24	279607	8782462,582381729	0,4854291666666667	20558,061836973557	19622,90823895118
1	25	97038	1647991,1153421672	0,16846961805555555	19740,606329806847	19298,834024825926
2	24	55183	671446,3920732335	0,0958045138888889	19374,104587552174	19106,969775881218
3	24	15726	1333254,1116862688	0,027302430555555555	19157,240224113288	18910,75476062266
4	24	7987	271796,7786960224	0,013866493055555557	18916,115164357434	18665,705045242605
5	24	3789	384574,4363525331	0,006579340277777778	18717,268454941135	18536,95019626561
6	24	3250	280554,9350286443	0,005643923611111112	18569,397824383217	18416,36673345473
7	24	3416	177698,19494670298	0,005930729166666667	18440,20235776294	18267,19940560705
8	24	2827	446060,0190995409	0,004909201388888888	18327,69842374061	18121,420118600166
9	24	3062	867724,6750688062	0,005317534722222223	18159,17527608799	18001,003131263322
10	24	2811	118734,26202620697	0,004880902777777778	18023,533666516538	17864,967658744165
11	24	2779	429731,26888956444	0,004825173611111111	17913,553688247852	17723,209137440976
12	24	2845	232276,28332134392	0,004940624999999999	17753,09373570268	17547,725895593187
13	24	2812	403917,7498175272	0,004882465277777777	17593,66497883465	17391,952321694633
14	24	2721	325297,2037907359	0,0047248263888888895	17435,467251869613	17288,88858490297
15	25	2734	232626,8095728595	0,004746874999999999	17332,251593210887	17208,31709966778
16	25	2822	1342901,4213775336	0,004900868055555556	17262,425933467668	17095,87615445202
17	24	2995	426018,7865441769	0,005199826388888889	17147,809111620525	16994,33085583859
18	24	2907	284391,71830097644	0,005047395833333333	17047,574989473513	16893,518506346118
19	24	2522	920377,4733579059	0,004378472222222223	16962,526136699504	16816,585599101476
20	24	2944	158983,15281571457	0,005111458333333333	16853,423722958785	16745,07684716963
21	24	2981	142603,95507716705	0,005175868055555555	16770,59435254739	16626,08956449548
22	25	3118	285990,0061565041	0,0054140625000000005	16671,63399599435	16558,72746373136
23	24	3004	143452,78663128626	0,005216666666666667	16578,04323666199	16461,263933187296
24	24	3177	192875,11887980657	0,005516666666666667	16505,740148408073	16403,663134193295
25	24	3074	179969,3475224059	0,005337152777777778	16427,82975415823	16245,931487755177
26	24	2714	299436,10534406075	0,004711805555555556	16302,589115930203	16182,201397298952
27	24	2885	112364,27258928218	0,0050088541666666675	16220,978132054526	16137,520130294211
28	24	2886	124776,23149643776	0,005010763888888889	16173,620189776451	16082,464259238011
29	24	2916	62049,544252454594	0,0050626736111111115	16108,657229341154	16037,866760326162
30	24	3040	148729,42598846016	0,005277777777777778	16070,474287121751	15967,776100472303
31	24	3047	166697,2114614249	0,005290277777777777	15995,348760723991	15852,476582626603
32	24	2696	1320028,1768464823	0,004681076388888888	15914,39167652329	15798,739971543011
33	24	2645	319416,6050439188	0,004593055555555556	15833,504495036756	15748,212466490184
34	25	2781	741634,9484743414	0,004828472222222224	15790,66447857953	15688,3357671792
35	24	2708	39332,271683636674	0,004702777777777776	15707,86022073316	15639,247061052618
36	25	2597	177693,04353217428	0,004508854166666666	15666,576695281288	15570,542361687883
37	24	2766	554911,0761031659	0,004802951388888889	15616,103701632546	15477,91159125444
38	24	2883	236793,59688027087	0,005005381944444444	15536,932858398326	15422,435615965233
39	24	2329	203481,3030954778	0,004043402777777777	15459,378247794491	15376,242492829999
40	24	2499	39839,02862721252	0,004339583333333334	15399,786133918422	15337,884103501065
41	24	2537	122820,25804003728	0,0044046875	15366,616387756221	15286,57563139218
42	24	2863	129232,13776136604	0,004971875	15313,137866376306	15254,1063560735
43	24	2818	502262,42333113804	0,004892361111111111	15296,557215168741	15225,767177683452
44	24	2847	107600,82188766115	0,004942881944444444	15251,948572934412	15174,597134502616
45	24	2613	82393,14580968072	0,004537152777777777	15197,968667785753	15110,210437866848
46	24	2708	205400,83037347664	0,004701736111111111	15151,367581297698	15049,564504605456
47	24	2798	233810,356083115	0,0048578125	15087,370247377714	14968,858982844973
48	24	2697	255727,25133497998	0,004683159722222222	15006,858266406043	14884,74315939465
49	24	2651	307486,58523263223	0,0046031250000000004	14931,238791703381	14827,347266061523
50	25	2830	235274,96510057422	0,004914062500000001	14865,136021022272	14727,488906073733
51	24	2603	707802,9681515178	0,004520659722222222	14790,433809748414	14677,51905946416
52	24	2689	201311,86295185564	0,004669791666666668	14712,050979398458	14649,644313590465
53	24	2834	293736,3539345524	0,004921006944444443	14681,601042135942	14604,643471940628
54	24	2970	223676,9497647428	0,005157291666666667	14646,975039269742	14555,787725898519
55	24	3205	431554,82008635823	0,005565798611111112	14605,642433078867	14504,952533974263
56	25	2861	54067,243204963335	0,004967881944444445	14527,607855393793	14450,301770332366
57	24	3267	80594,56567820748	0,0056725694444444445	14479,351787564796	14404,434055270389
58	24	3022	84461,24699022566	0,005247048611111112	14434,236233162499	14384,25847693687
59	25	2778	253141,52713114076	0,004824131944444445	14416,355919326921	14349,458105958682
60	24	3103	125837,96550416862	0,005387847222222223	14380,202090850978	14326,66339965251
61	25	3215	153263,59679988463	0,005581597222222222	14353,539612944727	14298,120286803456
62	24	3115	230463,45774487004	0,005408506944444445	14334,270400269626	14244,588682110418
63	24	2911	386544,1107975185	0,005054166666666667	14284,123204284726	14187,40535533366
64	24	2632	301474,8097501481	0,004570312500000001	14227,153394651617	14143,08861335256
65	24	2703	144904,8602943443	0,004693402777777777	14179,384858048748	14097,97830328076
66	24	3072	282692,162078535	0,005334895833333333	14148,04891014657	14009,248470569979
67	24	2713	553958,9123385237	0,004711111111111111	14064,456513627103	13985,7195497986
68	24	2945	423695,6301195845	0,005114409722222222	14021,428918673677	13913,337632618577
69	25	2869	221451,28580128535	0,004981770833333334	13961,37280951692	13850,108419939821
70	24	2595	340846,87371701415	0,004505208333333333	13891,362820852819	13820,67181709484
71	25	2818	222093,88919084557	0,004893055555555555	13860,377585130665	13781,603476686796
72	24	2855	152597,87200002972	0,00495798611111111	13817,422813719086	13733,52451883078
73	25	2998	55821,01067416748	0,005206423611111111	13756,570876268903	13680,517601740747
74	25	2973	150425,1817350217	0,005161458333333333	13720,139605820412	13643,764866776375
75	24	3114	531566,6606086582	0,005407118055555556	13689,92318243717	13619,188503148409
76	24	3059	116677,03247717	0,005311111111111111	13649,975994689343	13586,585584545686
77	24	3027	233936,36879912316	0,005256770833333334	13627,587756128889	13535,06753867085
78	25	3032	215895,25413961723	0,005264930555555556	13581,899687423636	13506,0935266723
79	24	3205	273844,7343295061	0,005565277777777778	13542,103936345466	13469,364800766733
80	25	3294	101621,15765716115	0,00571875	13499,622641561702	13440,199030472568
81	25	3331	86536,2433657391	0,005783506944444444	13464,30564650783	13410,99490161407
82	24	3355	109794,36622577878	0,005826041666666666	13440,768626512217	13382,588839995642
83	24	2968	188104,58396426478	0,0051534722222222225	13419,00710536494	13353,835873663653
84	24	2822	265702,7083263722	0,0049006944444444445	13390,86025153246	13328,621709442892
85	24	2934	239975,4451858481	0,005094097222222221	13366,99197052636	13277,354748965914
86	24	2909	292202,62699520634	0,005051909722222222	13333,925030422553	13246,344651696967
87	25	2701	233406,4850583837	0,004689756944444444	13286,830879591802	13228,699358240021
88	24	2492	137056,9089415528	0,0043265625000000005	13259,313020198751	13184,248972999578
89	24	2799	102895,75609453754	0,004860069444444444	13222,857041783074	13167,412083529776
90	24	2543	94222,48928059443	0,004415798611111112	13189,33751328463	13130,620564092547
91	24	2473	184740,10864010514	0,004294965277777777	13166,576793996976	13099,403663128538
92	24	2545	211289,46161907996	0,0044189236111111104	13138,78334291738	13068,171558472579
93	25	2772	73310,64415913161	0,004813020833333332	13106,59755090333	13055,919212557523
94	24	2995	159070,4476130432	0,005200694444444444	13090,12440858174	13045,992898609198
95	25	2932	222053,71473369133	0,005090451388888889	13084,884029875731	13023,149070159732
96	24	2697	870113,1147188895	0,004683333333333333	13066,119838091898	13000,263712402648
97	24	2741	238041,88824390125	0,004760243055555556	13037,71357189419	12967,304522044322
98	24	2626	98126,2620421322	0,004560243055555555	13003,148289638557	12941,695556570685
99	24	2757	103872,67163107745	0,0047875	12973,430632447635	12913,759233506149
100	25	2847	225615,9649128627	0,0049434027777777775	12958,042572529304	12888,565152117237
101	25	2418	136059,3317115861	0,004199305555555556	12920,0323024496	12865,636124411405
102	24	2704	67540,18561961789	0,004694965277777777	12896,724100704741	12840,932266504105
103	24	2818	649117,6867980534	0,004893055555555555	12893,886078108708	12823,976969530433
104	24	2609	102359,66122092135	0,004530034722222223	12854,6726288295	12805,180851438268
105	24	2507	116951,16430047492	0,004352951388888889	12834,648157592352	12783,706882330504
106	24	2844	699586,87637436	0,004939062499999999	12840,039236557668	12762,725791806437
107	24	2917	995567,2743615458	0,005065798611111111	12811,889990359366	12733,531131038084
108	24	2701	163356,69794955107	0,004690277777777778	12771,459848385719	12713,994345086268
109	24	2736	119382,17463701528	0,004750868055555556	12746,055527592409	12690,13137632579
110	25	2731	182253,97427063197	0,004742013888888888	12736,541549723253	12673,622735264904
111	24	2436	68345,74500563745	0,0042307291666666665	12701,363135845095	12653,088758753567
112	24	2785	231955,54567521237	0,0048359375	12694,126535509135	12631,040502124755
113	24	2642	216233,05740417127	0,004587326388888889	12672,802573222736	12605,698213001819
114	24	2815	192398,33574920177	0,004887847222222223	12645,866149074354	12573,618677474295
115	24	2701	726086,1457488016	0,004690104166666667	12640,068554740554	12557,610582773737
116	25	2802	546097,1202097724	0,0048649305555555555	12602,343185805777	12536,674095578337
117	24	3227	366190,6819102558	0,0056031250000000005	12586,402868292293	12519,343832950988
118	24	3009	160973,09249445045	0,005224999999999999	12552,814189978933	12496,267824468046
119	24	2927	163419,00364798185	0,005082986111111111	12527,347450472085	12480,850917417152
120	24	2801	174836,53986310228	0,0048628472222222215	12516,97248557513	12465,528181783427
121	24	2885	215763,79097118945	0,0050095486111111105	12500,115497390958	12437,004604479405
122	24	3009	655380,0171990374	0,005223958333333332	12495,323151022347	12424,349035563017
123	24	2919	146885,09208914495	0,005067708333333333	12452,11781563167	12399,299281925876
124	24	2940	207538,31956927883	0,005105208333333334	12441,514913701607	12379,530885026343
125	25	2950	224114,2894534547	0,005122916666666666	12423,357321940803	12347,771231972216
126	24	2729	765640,1998325107	0,00473888888888889	12412,242075672977	12328,641683530012
127	25	2814	220692,69433565912	0,004885590277777777	12374,612443999782	12306,027027140706
128	24	2818	303579,59796904615	0,004892534722222222	12346,20138201307	12280,579329439695
129	24	2781	216723,4602533135	0,004829340277777779	12324,14153434162	12264,833368710924
130	24	3276	761885,1722441377	0,005687847222222223	12319,921173944571	12241,049180137703
131	24	2506	2314523,709017125	0,0043515625	12310,061399394877	12218,967749851934
132	24	2794	106778,6317538972	0,004852256944444444	12255,661709521784	12194,122671737246
133	25	2715	133481,62845283357	0,0047137152777777785	12233,708016639333	12176,533897090902
134	25	2991	117925,51380436898	0,005193923611111111	12216,102976707803	12161,607735504924
135	24	2860	65894,27171440938	0,004966840277777778	12187,641804136378	12148,281313675758
