Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	310992	9014525,438483197	0,5399166666666667	20339,13799053844	19140,284583494642
1	25	83460	2943938,823932137	0,1448958333333333	19327,464285234542	18821,52660504821
2	25	47829	3278874,128057595	0,08303680555555557	18922,422431690316	18468,105637148878
3	25	24049	1087563,9782349945	0,04175243055555556	18557,247560047836	18149,978635040847
4	25	23306	847760,4054301403	0,040462152777777774	18240,41049723011	17849,532461699233
5	25	17206	994088,0146871686	0,029872916666666673	17989,94161607059	17603,62703802673
6	25	12291	916891,863869315	0,021339583333333335	17698,218821318842	17347,70885220961
7	25	9346	677181,1032667211	0,016227083333333333	17435,004300227836	17198,131027267948
8	25	7755	627780,7938136576	0,01346423611111111	17305,069752407744	17088,67505338214
9	25	8658	1138824,1303280566	0,015032638888888889	17189,909295005986	16929,576218575
10	25	8000	638008,1782424472	0,013889930555555555	17014,957210743632	16803,485476722766
11	25	8198	735925,6933946526	0,014234027777777778	16913,322857821513	16724,53148625271
12	25	8463	2600610,5330887176	0,01469375	16851,096939883533	16638,22921194058
13	25	9001	1185823,0132668517	0,015627083333333333	16730,619684954854	16450,2621550919
14	25	9182	1206097,1635272151	0,01594201388888889	16575,0776465312	16284,47957997442
15	25	8839	3001159,415583858	0,015346527777777777	16471,332977395698	16166,155610057593
16	25	8133	918393,731840409	0,014120833333333332	16297,586212230837	16065,056404404948
17	25	7895	770866,6326312274	0,013706944444444447	16171,400313452392	15917,719733815815
18	25	8310	473009,66620968224	0,014427777777777779	16010,667528858092	15828,09559297613
19	25	9002	1169089,8398375579	0,01562986111111111	15940,009313747962	15702,737923922145
20	25	9718	1424990,890281341	0,016871527777777777	15855,648908662693	15594,728092901943
21	25	9676	1002353,3650695672	0,01679861111111111	15728,970996258353	15489,133639202972
22	25	8862	602386,5005543202	0,015386111111111109	15586,991971285146	15371,7020182657
23	25	9347	638951,3531858856	0,016228819444444445	15452,832391313936	15144,397214570019
