Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	313365	2,1652621373458516E7	0,5440371527777779	21169,554838883076	19339,148254103136
1	25	219030	1,1975906718291294E7	0,38026145833333336	19820,705900732777	18859,616473403334
2	25	72081	2515944,342651679	0,12514097222222223	19036,263152497773	18299,247306614478
3	25	57469	2527284,2110105418	0,09977326388888888	18546,281584680226	17955,813485698454
4	25	26475	1066814,0518433154	0,04596458333333334	18095,75658184454	17779,124571081964
5	25	13552	903882,5592872144	0,023528819444444442	17881,938945694546	17586,094472516867
6	25	13496	861078,5911100861	0,023431249999999997	17714,6896830658	17432,573480841827
7	25	11234	1047360,4623325933	0,01950451388888889	17555,97650257832	17258,339342980173
8	25	11220	2291910,54092321	0,01947951388888889	17401,95663045158	17002,541674544485
9	25	11607	1382892,305528029	0,020151041666666668	17146,48956024115	16762,071373073926
10	25	10027	656237,5374614985	0,017408680555555552	16882,61280522904	16644,022582603848
11	25	10312	808697,1802492805	0,017903472222222223	16741,69583116138	16470,614057093924
12	25	10172	956561,9963287171	0,017659722222222222	16595,48250958547	16367,150560053842
13	25	9748	1655768,1420901301	0,016924652777777778	16485,409665417515	16225,450073251577
14	25	9737	1086356,216913506	0,016905208333333335	16369,691941669604	16158,878396707389
15	25	9043	394935,81609443156	0,015700694444444444	16224,169642707322	16045,335083632555
16	25	9518	1823751,9079212632	0,016524652777777777	16171,966783315398	15916,9868181
17	25	9055	893891,8508135866	0,015721180555555554	16020,45207509834	15861,284956147112
18	25	9392	2299890,6359481784	0,016306944444444443	15950,235635377874	15748,195315651654
19	25	8286	581793,8880970555	0,014386805555555557	15836,448178508403	15633,94469643781
20	25	9796	1765912,488173141	0,017006944444444443	15772,446511203822	15562,67832887113
21	25	9916	1022242,2162680856	0,017215972222222223	15664,094745368839	15470,330129079524
22	25	10441	384507,1113873516	0,018127430555555556	15548,9876362699	15419,362553195135
23	25	9660	715203,500524329	0,016770833333333332	15509,646483802013	15289,859105588834
24	25	9558	519729,0831047453	0,016594444444444446	15380,951457380195	15219,825882798546
25	25	9555	2513466,711747407	0,016588888888888886	15380,349295058131	15034,56307171743
26	25	9454	1284546,208682111	0,016414583333333333	15195,011089122863	14973,599454392912
27	25	10079	862256,6100616405	0,017498958333333335	15072,190074567363	14895,342914286073
28	25	9554	1055997,4493742585	0,016588194444444447	15008,20097552336	14762,872671878324
29	25	10321	996210,352190274	0,01791840277777778	14900,540806426201	14670,81899557411
30	25	9554	1911646,332204897	0,0165875	14841,618009419975	14618,282862626796
31	25	8966	1007076,4234837644	0,015567361111111112	14722,962657689859	14466,672264927596
32	25	9858	1562441,674056712	0,017114583333333332	14627,428514194922	14416,00511110294
33	25	9293	936998,2716432486	0,016133680555555554	14540,486017430076	14349,941546917384
34	25	10200	607420,4964769296	0,017709375	14430,349201877656	14262,424637242602
35	25	10602	1540987,0672516439	0,01840659722222222	14412,494996532641	14220,021465491795
36	25	9856	659718,2980585769	0,017111458333333333	14328,286246522059	14145,272331390015
37	25	9520	647461,8955970387	0,016529166666666668	14267,567215103112	14094,324332157907
38	25	9064	3631664,1082878346	0,015737152777777777	14229,372100424333	14033,304958358367
39	25	9099	1015529,7265691782	0,015796875	14156,211173922313	14007,200522588162
40	25	8211	1990595,114479325	0,014255555555555554	14160,814557751233	13945,228881151193
41	25	9394	1478142,8704380596	0,016309374999999997	14063,72989519884	13887,201688651297
42	25	10315	1265952,9163719884	0,017909027777777777	14023,487037272449	13846,39067702236
43	25	9518	818689,8345066935	0,016524305555555556	13979,055099159576	13790,157668624457
44	25	11237	772820,4046697449	0,019510069444444444	13904,877620646588	13753,82692785334
45	25	9485	507080,80858677125	0,016468055555555555	13845,833247715456	13715,005293683702
46	25	10467	1433816,135575892	0,01817222222222222	13834,623381610127	13671,778995335946
47	25	10294	4190295,5843388974	0,017872569444444444	13817,78793286403	13627,887556619908
48	25	10530	347025,0623603971	0,01828159722222222	13721,959290336375	13580,786373657244
49	25	9518	515906,75181087304	0,016524999999999998	13677,860135973688	13538,277549535012
50	25	9506	994543,6729255468	0,016504166666666667	13676,342182490815	13490,858319515213
51	25	9156	459098,70719670336	0,01589583333333333	13585,011022507922	13381,667937292625
52	25	9929	1110769,2598892164	0,01723888888888889	13553,251269601717	13336,875248377308
53	25	8665	1216600,5095086815	0,015044791666666668	13458,461867241824	13295,578560885686
54	25	9464	2446633,0208874457	0,016431597222222222	13460,561157199278	13243,711832561637
55	25	8960	1093530,5051958994	0,015555555555555555	13391,347961461423	13203,910781289087
56	25	9476	823324,3318332892	0,016451388888888887	13317,772153318094	13168,319377523983
57	25	9575	1885682,307257751	0,016623958333333334	13324,65837747932	13124,403833399783
58	25	9146	1052884,0203034193	0,01587986111111111	13275,70697981563	13063,082073308262
59	25	8541	1872935,1723810155	0,014828819444444443	13221,8325121274	13029,317777000993
60	25	8233	521952,92585416825	0,014293402777777778	13137,996500528403	12989,251308448886
61	25	8793	1245232,070530076	0,015266319444444443	13144,832652927504	12948,462535666695
62	25	9472	1426473,0598523528	0,016444791666666667	13107,800606766483	12899,439592281016
63	25	10786	742741,7396908808	0,01872708333333333	13027,88611700599	12833,782204674857
64	25	9396	2398949,911705981	0,016313888888888888	13011,509823670975	12812,587563176658
65	25	9668	990580,0744562888	0,016785416666666664	12941,752847331893	12780,628125304895
66	25	9829	807123,3130033242	0,01706423611111111	12900,539599220185	12751,240461792779
67	25	10085	1281870,836877495	0,017508680555555555	12909,766014387009	12710,904164738144
68	25	9416	493233,7726606404	0,016348263888888888	12818,137642001233	12685,05530782092
69	25	8746	751719,5059185333	0,015184027777777779	12806,586793461205	12667,894706566382
70	25	9177	1121839,877093337	0,015933333333333334	12818,068257281551	12620,618782921258
71	25	9280	2537199,9451109087	0,016111805555555556	12859,234879645377	12595,411244803317
72	25	8522	564615,1446927482	0,014795138888888889	12720,68526812545	12578,66024409239
73	25	9642	728041,8682804735	0,016740972222222223	12702,919540720502	12552,807520960458
74	25	9781	2332199,3778721103	0,01698159722222222	12723,938217437602	12539,636926041403
75	25	8234	768388,7696682976	0,014295833333333332	12675,83768868345	12523,933607867137
76	25	8649	620707,4320036836	0,015015972222222224	12644,09457575307	12498,352483366354
77	25	7844	1662343,5935321325	0,013618749999999999	12653,712564324924	12480,168486015644
78	25	8404	2086397,560121271	0,014591666666666666	12664,313726729859	12455,313825235547
79	25	9442	619615,2713748917	0,016392708333333332	12583,438873405148	12434,885643655149
80	25	8774	984158,5175844163	0,015234027777777779	12582,341039509265	12420,74628545072
81	25	9671	970756,4252288837	0,016791319444444446	12555,560064118068	12408,656281030318
82	25	9215	1365353,3114521457	0,015998958333333334	12556,292768394836	12375,15264538297
83	25	8440	1774873,1349074766	0,014652777777777775	12546,822708621026	12348,043653520455
84	25	8813	1993842,6590490348	0,015301041666666668	12547,030041979047	12338,74477424214
85	25	8776	1044041,7389813338	0,015236111111111108	12499,605952837892	12312,166996748643
86	25	8907	1285831,6174108186	0,015464236111111113	12474,13151522836	12289,25043598288
87	25	8761	1269942,9774054412	0,015211458333333334	12452,171361081017	12279,490619590706
88	25	8813	1746258,7943133004	0,015300347222222222	12438,327364918398	12262,768576893845
89	25	9649	6444142,774710051	0,016752083333333334	12467,664727470768	12242,940738673098
90	25	10169	887306,4568149798	0,01765486111111111	12378,769592210916	12204,922110033487
91	25	9451	881309,9781922605	0,016409374999999997	12338,30319770172	12166,515421946528
