Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	295537	4,066008232801971E7	0,5130850694444444	21679,449543197137	20106,197180588944
1	25	120233	1,333980100732437E7	0,20873819444444447	20560,16322193317	19354,031287001075
2	25	61894	5621338,63915981	0,10745624999999999	19664,559344823218	18931,78453930899
3	25	22840	1507026,6913393275	0,03965347222222222	19079,276946755806	18747,270214403725
4	25	10523	909408,4677522046	0,01827048611111111	18803,282083265934	18499,12926921728
5	25	11200	1932202,9192818515	0,019445833333333332	18618,535647466288	18242,27902647857
6	25	10725	704609,5712509195	0,018621180555555554	18300,069203150524	17906,55824808849
7	25	9668	1861372,608926582	0,016786111111111113	18029,578389932973	17544,192606959703
8	25	9221	1859484,7572183318	0,016009722222222224	17728,483264032337	17411,625097536933
9	25	7879	1220918,870639529	0,013678819444444445	17522,15016819403	17295,34781585898
10	25	10034	723258,4924913651	0,017420486111111112	17367,818493017658	17079,6874757717
11	25	9732	662196,2307695746	0,016896527777777778	17187,49258768698	16963,241896798107
12	25	9859	1060276,7962008878	0,017116319444444444	17071,639401139528	16733,98558222463
13	25	8747	794148,9929722456	0,015187152777777779	16850,534441446518	16620,00448280527
14	25	9297	464429,7929693699	0,01614201388888889	16695,3350932417	16465,92599208277
15	25	9213	1843457,5366917863	0,015996180555555555	16586,034452418804	16262,939140791033
16	25	9581	905160,2294566522	0,016635069444444445	16384,250172367152	16149,886514507289
17	25	9262	599830,1311319114	0,016079861111111114	16251,802047417641	16048,004389452388
18	25	9745	532028,6823455717	0,016919097222222224	16141,449825168975	15926,33662237228
19	25	10443	712199,9459149991	0,018130208333333335	16057,28705584757	15863,580189897539
20	25	8943	952762,9371727172	0,015526736111111111	15974,55346849433	15750,05397486744
21	25	7904	353567,92620648316	0,013722569444444447	15810,09521765179	15638,09018861501
22	25	8743	931354,7817853456	0,01517986111111111	15733,561021817655	15526,87844532236
23	25	9369	1942144,5046665203	0,016265625	15661,300003187189	15382,46440024795
24	25	9231	845050,1988276523	0,016027083333333334	15509,31897960805	15293,909371997885
25	25	8811	604623,9283423524	0,015297569444444445	15401,308305967157	15180,95945997428
26	25	9351	1567505,7078168814	0,016234375000000002	15322,938903303648	15085,47787381059
27	25	9984	1319319,6467944693	0,01733472222222222	15240,531150603445	14953,828159781455
28	25	9488	1123178,948397344	0,016472569444444446	15128,850290538132	14885,01187961745
29	25	8584	1157722,1045668982	0,014902777777777775	15019,23647192315	14821,728013422404
30	25	7876	1578038,6823890333	0,013675000000000001	14943,385894821122	14746,024856115604
31	25	8638	1117573,7719861944	0,014996875000000002	14877,57289098357	14675,062237328466
32	25	9161	1974772,944204364	0,015905555555555555	14856,521290803357	14629,262240934117
33	25	8354	1132191,669866185	0,01450486111111111	14760,581884833586	14566,403667915856
34	25	8912	641174,4699814734	0,01547222222222222	14696,411686533602	14510,893241875863
35	25	8988	819151,1913718649	0,015605555555555557	14622,17579415089	14439,13364386234
36	25	9310	1173237,883352347	0,016163194444444445	14556,161460625328	14373,424787556141
37	25	9001	1286976,0364194885	0,015627777777777775	14511,586202208151	14325,360181012522
38	25	9285	672930,7129346293	0,016119791666666668	14435,909033401089	14287,210401320175
39	25	9334	791983,1971432024	0,016205555555555553	14400,251046502952	14204,807105563279
40	25	8345	415817,697643706	0,014488888888888888	14297,018025564472	14161,572546119685
41	25	7900	1307616,3813245483	0,013715972222222223	14290,178636517423	14122,118615735486
42	25	7731	800605,6558567334	0,01342222222222222	14232,283724163359	14058,517586252497
43	25	7950	565067,6807558587	0,013803472222222224	14155,059845160173	13983,474916813948
44	25	8242	2398323,0277429176	0,014310416666666664	14157,671597501132	13850,981914625376
45	25	9324	954844,8766022071	0,0161875	14008,263415438394	13814,387951947987
46	25	7934	397429,6306435787	0,013775	13906,724486480776	13777,149571533673
47	25	8220	431452,941756827	0,014271875	13868,020406288622	13725,401595295658
48	25	9205	1089775,003719457	0,015981944444444444	13849,166562954159	13669,112603553373
49	25	9671	1129760,0777299493	0,01679097222222222	13836,631329637414	13635,344463679872
50	25	8642	1728934,4685673364	0,015003472222222222	13750,267299961739	13569,271161260054
51	25	8880	2425847,836021132	0,015418055555555555	13765,556499972334	13549,301576076448
52	25	8899	808042,0144925591	0,015450347222222225	13676,973447037424	13517,228267581377
53	25	9344	822668,9675911982	0,01622222222222222	13652,416941271114	13459,113659394661
54	25	8956	2857072,1460499032	0,01555	13621,073828521088	13405,656642301143
55	25	8150	1825516,1641773097	0,014150347222222224	13572,246373139638	13376,360999286457
56	25	8380	946408,0886525974	0,014548611111111113	13494,936035719715	13293,741337439918
57	25	8954	328999,7528996256	0,015545486111111112	13406,940804457636	13271,529723123658
58	25	8430	1722011,0842729125	0,014636111111111114	13440,39950026743	13233,310018611202
59	25	8943	1027171,9901160892	0,015526041666666665	13351,312338429318	13174,986464357968
60	25	9922	1439355,2790678684	0,01722708333333333	13314,262928410762	13134,26174279658
61	25	8006	1084645,4108535512	0,01389965277777778	13251,489768631534	13108,185943074
62	25	7277	2117642,5990926553	0,012634375	13292,435156438984	13080,659132232902
63	25	8257	1042957,8322353602	0,01433576388888889	13208,621999239742	13029,841028594496
64	25	9601	1329182,4771349276	0,01666840277777778	13168,27215402759	13000,939607069831
65	25	8791	680259,9847639761	0,015263541666666667	13120,330846567449	12966,123690823653
