Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	278993	2,1577576315779813E7	0,48436423611111107	21121,684830169834	19897,454500735665
1	25	151456	1,3079584762886535E7	0,2629458333333333	20142,746999486455	19116,979615585384
2	25	71457	7705799,212610148	0,1240576388888889	19471,689289213657	18658,51325135061
3	25	49812	4219393,088635569	0,08647916666666668	18910,71870612201	18393,40102901324
4	25	19976	4719620,542132184	0,03468090277777778	18582,495763857347	18214,80975498395
5	25	8988	860074,7721947379	0,015604166666666669	18292,144567362113	18043,42517772855
6	25	8639	1062872,2642177702	0,014998263888888887	18129,843402412782	17785,379977987486
7	25	7998	749077,1510587052	0,013885416666666667	17912,684099718	17622,424249896292
8	25	8433	886489,238234641	0,014640625	17725,939117852038	17397,708797426538
9	25	8655	587324,3384350499	0,015026041666666667	17474,293087863265	17225,932614927395
10	25	8200	955568,8751638501	0,014236458333333332	17333,422539044495	17048,207166103442
11	25	8546	1050792,5334174843	0,014837847222222223	17150,18620647463	16791,910681465633
12	25	8567	1042306,9126338058	0,014873611111111112	16901,757427838584	16624,171469941146
13	25	8107	819856,9236410408	0,014074652777777776	16740,559777486043	16522,331129418126
14	25	8975	1111266,671641752	0,015582638888888889	16608,867074910213	16378,062042928043
15	25	10226	622412,7818517894	0,01775451388888889	16486,546158724752	16264,692786901152
16	25	9949	743960,2150693327	0,017273958333333332	16375,208743766721	16155,365213449923
17	25	9012	559811,8793522604	0,015647222222222222	16225,681332609136	15993,143237173024
18	25	7661	1318864,0643515817	0,013300694444444445	16119,085791653586	15881,07263958602
19	25	8814	797748,4936879271	0,015302083333333332	16000,639035516118	15736,773305520153
20	25	10153	1221883,3061712193	0,017627430555555556	15909,011434031028	15655,109023221046
21	25	9650	564995,0299891579	0,016753819444444446	15743,97948209765	15530,971491028718
22	25	7809	654047,2762156912	0,01355798611111111	15652,670549257233	15430,020480547386
23	25	8153	1474809,6417365281	0,014154861111111111	15599,399486957807	15396,04796648795
24	25	8098	923111,6887627745	0,014060069444444444	15524,427458698028	15337,593891489265
25	25	8366	1102905,0217153472	0,014524305555555556	15449,762140464774	15268,428874256784
26	25	8295	675676,933049985	0,014401388888888889	15360,99556690772	15192,548807872601
27	25	8248	1150391,2260373165	0,014320833333333333	15321,57882934302	15114,615720802476
28	25	8611	571486,1084286608	0,014951041666666665	15199,271964977137	15017,138537676237
29	25	7997	817567,5720063135	0,013884375	15125,64967838623	14890,230421225517
30	25	8289	1131496,753573849	0,014390625	15029,497087145306	14755,133732007103
31	25	8784	2185418,802942279	0,015251041666666664	14933,904892313143	14697,683617016524
32	25	8395	420089,6842524532	0,014575694444444445	14797,014173494244	14651,830759890776
33	25	8946	1595431,270815659	0,015532291666666665	14794,168699100148	14581,602496220401
34	25	8364	669861,5744864796	0,014520833333333334	14675,095654013165	14502,871708688643
35	25	8305	1590721,532104367	0,014419791666666664	14624,347467911086	14449,096435983422
36	25	7965	413134,82531981415	0,013828125	14546,611495070643	14415,011038223678
37	25	8994	1931804,6847722859	0,015615972222222222	14540,506233162672	14342,15694681895
38	25	8624	353285,3386447299	0,014973611111111113	14429,4750871416	14262,696491545157
39	25	8007	1580255,2615603744	0,013902083333333334	14415,086770989054	14144,482031976577
40	25	7570	1298939,4060546434	0,013143055555555555	14283,730164358238	14088,008887042359
41	25	7825	4786166,997033486	0,013585416666666666	14284,047555562469	14053,128943847889
42	25	8339	421728,85672573897	0,014478472222222222	14144,744758899871	14005,640017102103
43	25	8436	5469063,652345248	0,014645833333333334	14229,203432305114	13955,758127293657
44	25	8310	2658714,5838393182	0,014428472222222221	14134,907386985822	13926,519987507065
45	25	7983	1189691,4734171957	0,013860069444444446	14064,63159029181	13893,282534434951
46	25	8516	1378750,3547108867	0,014785069444444446	14028,666177394009	13843,093004907141
47	25	8704	378886,03662352054	0,015111458333333333	13931,747719320236	13749,396769456196
48	25	8590	705622,0036986412	0,014913888888888888	13869,40476446509	13715,304606228601
49	25	9052	1163487,9951455933	0,01571597222222222	13830,797959865455	13681,096757071855
50	25	8482	321153,5177900325	0,014727083333333335	13767,419801903761	13645,628416469666
51	25	9027	1312190,192115149	0,015671875000000002	13808,660531978083	13610,927536319583
52	25	9756	867351,0183684409	0,016938541666666664	13734,524714781317	13556,271607376926
53	25	9359	445596,6387995163	0,01624861111111111	13660,195280186617	13531,327694615651
54	25	7958	387419,76858911896	0,013815972222222223	13618,665390914215	13498,39082216469
55	25	8976	776803,7347926298	0,015584722222222222	13626,07880381631	13466,587599426804
