Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	376998	1,1641812494048253E7	0,654511574074074	20656,59689651513	19023,637925836523
1	25	210728	6530896,424273811	0,3658472222222222	18956,086896264093	17803,30914007375
2	25	147623	3119066,0923754447	0,25629108796296296	17895,169544472854	17151,617256059966
3	25	69579	2005978,0876752	0,12079687500000001	17173,142328154692	16681,612330119042
4	25	63075	3333654,6882349723	0,10950520833333333	16729,30164160836	16179,140230240715
5	25	43499	1323244,7678264675	0,07551909722222223	16248,525165518397	15882,637841197318
6	25	36265	2484554,191572975	0,06296064814814815	16093,215438057981	15736,558554169866
7	25	33362	2313380,999542382	0,0579207175925926	15945,684399080548	15612,219388348516
8	25	32458	1065187,1537242793	0,05635127314814815	15714,568203484276	15435,566620377349
9	25	32649	967342,2224627709	0,05668287037037037	15557,145857654687	15273,547491121679
10	25	25909	2573050,8463113913	0,04498148148148148	15497,371884039085	15186,298840532201
11	25	26351	1838703,3543256198	0,0457494212962963	15261,26816934706	14982,048716028286
12	25	26023	2657048,792791882	0,04517939814814815	15180,037591083892	14873,63203253851
13	25	25272	1033025,6322763036	0,043875	15018,52872638255	14713,981139069778
14	25	26755	3917928,4158050604	0,04645023148148148	14925,986391642742	14497,86589116261
15	25	23583	1928555,2503652174	0,040943287037037035	14679,25329218459	14360,09463271783
16	25	19544	1407596,0656592057	0,03393113425925926	14563,834111926282	14292,004984374958
17	25	22824	1817123,6047274861	0,0396255787037037	14453,202002037557	14152,555583106849
18	25	22232	1836056,0263183403	0,03859722222222222	14339,33149808646	14051,391291120519
19	25	20540	1190355,6216169852	0,03566087962962963	14220,368079629654	13975,768457564656
20	25	21279	1844930,4120956569	0,03694386574074074	14171,530805460476	13914,594407517601
21	25	22393	1823794,8728493396	0,03887789351851852	14099,571917485315	13746,396151618943
22	25	20951	1240484,1175573613	0,03637326388888889	13946,070021337937	13669,007277511788
23	25	21714	3512366,435371544	0,037697916666666664	13932,438011715929	13588,47874080983
24	25	23901	2254367,1974629355	0,04149594907407408	13842,06159747956	13521,974348943544
25	25	22814	3077896,4890002627	0,03960763888888889	13789,192924667945	13457,23562399052
26	25	23417	1299044,0122077025	0,04065509259259259	13574,906954800717	13252,615677167429
27	25	22453	2396403,4806414726	0,038982060185185186	13551,188530164975	13216,776978830336
28	25	22667	1106343,5694547966	0,03935358796296296	13366,19373689156	13129,895873621319
29	25	23715	2562512,207317587	0,04117303240740741	13343,349042747179	13022,22899312082
30	25	21570	5610953,534524161	0,03744849537037037	13316,919474063741	12991,54428751715
31	25	21661	1776189,8130375764	0,037605902777777776	13209,420176058638	12973,987045547767
32	25	21547	2009365,1538471926	0,03740914351851852	13205,494965863305	12886,793416360759
33	25	21249	3435224,2901797383	0,036891782407407404	13181,876463374836	12796,660685643545
34	25	21651	1854897,468887194	0,03758912037037037	13036,317016033054	12692,3943684896
35	25	20061	1556474,3542397742	0,034828125	12929,29144656176	12649,349869510415
36	25	19373	2118349,001908909	0,03363368055555555	12863,057596537154	12612,985347170303
37	25	20281	3333063,9336651247	0,03521006944444444	12803,014097391677	12554,306620800498
38	25	22483	3189587,9121383764	0,03903356481481481	12858,298722783415	12515,312791816148
39	25	25704	2923567,4236221877	0,044625	12789,497538038131	12468,785010180072
40	25	27038	3261985,8206818798	0,046941550925925925	12704,239836054026	12392,959583847658
41	25	23825	3293427,602035319	0,04136342592592592	12599,993499391678	12354,84744766736
42	25	20566	2237031,261579842	0,03570543981481481	12583,824865754663	12312,620400874248
43	25	21190	4438128,21121309	0,03678819444444445	12679,5326477477	12295,49550817596
44	25	23209	1351515,903163454	0,04029340277777778	12493,620146302048	12253,368190635569
45	25	22194	3537167,4909122246	0,038531828703703704	12517,412877079192	12173,29089778831
46	25	20423	3864018,7368350686	0,035457754629629634	12536,755287143174	12124,784168925044
47	25	21189	850675,8651907751	0,036786458333333334	12339,661430047445	12108,622347967108
48	25	21586	2012315,6230376372	0,037476273148148144	12298,633268752836	12020,116593570785
49	25	22065	5992839,462064455	0,038308449074074075	12313,116279656066	11979,461604985741
50	25	20108	2273971,282301364	0,034909722222222224	12189,212228307131	11916,594584736878
51	25	20856	2003284,8444510214	0,03620833333333333	12130,115795749794	11888,17163539212
52	25	17728	1857536,259924011	0,030777777777777775	12105,756522984491	11819,580501685974
53	25	18075	2375869,288345141	0,03138078703703704	12062,851630430969	11771,058338816472
54	25	17241	5762527,043697187	0,02993344907407407	12169,45078686032	11755,603027865152
