Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	389014	1,172705579214458E7	0,6753715277777778	20401,693785944328	18725,11232758551
1	25	222947	4208946,8748464575	0,3870619212962963	18848,1109017073	17955,68795231094
2	25	144567	4014257,9537910097	0,25098553240740745	17856,844084720826	17183,74295931777
3	25	121932	2709390,865692761	0,21168865740740742	17115,95313672088	16476,718786747264
4	25	72641	6390732,54080717	0,12611400462962963	16618,640959960772	15991,265429777495
5	25	54153	1479828,9208233932	0,09401620370370371	16080,064184500674	15666,494919984825
6	25	44641	3082697,9395407257	0,07750289351851852	15828,82054826799	15457,40075691452
7	25	40347	3001384,3808345776	0,0700474537037037	15665,088625135662	15149,340780153385
8	25	30329	2955752,5462696827	0,052655092592592594	15345,396497894953	14949,379415096439
9	25	27716	2037938,080564565	0,04811863425925925	15080,052185105365	14777,74384198262
10	25	28828	1207623,8857760394	0,05004976851851852	14910,971486290611	14557,415645815612
11	25	29521	1535643,641441264	0,05125173611111111	14725,687318944227	14362,693288160366
12	25	27403	3422038,7780711963	0,04757523148148148	14593,284377967952	14180,5545353533
13	25	27509	2712504,2742499188	0,04775925925925926	14404,438380445768	14047,341014437921
14	25	27298	1941061,4789298922	0,047392939814814815	14269,58473070317	13936,30933645286
15	25	25866	4861997,016710729	0,04490625	14216,943481105767	13819,203361316162
16	25	24758	1227382,1425125662	0,04298321759259258	14000,004745366141	13739,00539234591
17	25	24772	2969408,0440491773	0,043006944444444445	14029,317335945498	13633,00886565436
18	25	23845	2475847,155637273	0,04139814814814815	13887,695890262856	13540,0879602449
19	25	25419	3853683,2342289966	0,04413020833333334	13802,974578160718	13416,53868001708
20	25	23526	3956591,5305137024	0,040843750000000005	13732,115155461512	13347,673946454966
21	25	21945	4014934,337859047	0,03810011574074074	13593,735350868074	13225,767256234854
22	25	23370	3798550,197648082	0,040574074074074075	13546,698427872661	13186,661709067675
23	25	22983	2144915,483018991	0,03990104166666667	13428,78020841157	13134,902242017744
24	25	25132	1385962,6368041632	0,04363194444444444	13308,871035158356	13032,010259643474
25	25	24479	1699202,7476531335	0,04249826388888889	13243,461035443761	12954,808087452579
26	25	20944	7661837,655332211	0,03636168981481482	13303,33626795689	12909,067133607552
27	25	20741	4617779,23930231	0,036009259259259255	13259,050981827839	12875,178994471999
28	25	20951	1543663,200787101	0,03637326388888889	13113,863737303182	12845,395679047338
29	25	20938	5182574,687503093	0,03635069444444444	13138,04643794886	12749,468125062374
30	25	20732	4117672,596312236	0,035993634259259256	13083,783873740738	12733,036588835981
31	25	18812	3425685,1408079094	0,03266030092592593	13043,9989886007	12690,086542482115
32	25	20555	3081131,5787383695	0,035686921296296296	13000,376741677368	12649,66567621468
33	25	22562	3449108,295805743	0,03917013888888889	12928,996052953496	12602,557453370988
34	25	23656	1250232,7775782323	0,04107002314814815	12780,509570181317	12527,678656547016
35	25	23237	1305628,4108504157	0,04034201388888889	12718,629831005928	12473,705478185775
36	25	22277	4754418,357464653	0,03867534722222222	12764,18087417745	12406,6158758291
37	25	20677	1485062,9716396008	0,03589872685185185	12646,56285437975	12385,281332092805
38	25	27361	1996751,6059109494	0,04750173611111111	12628,804419602022	12335,51053554564
39	25	27015	1978455,4879333575	0,04690219907407408	12563,925285449079	12246,885946288096
40	25	23430	1991314,2880850714	0,040678240740740744	12476,4848187448	12172,00354338123
41	25	24438	2517248,3787681204	0,04242766203703704	12443,885855925853	12116,47871471604
42	25	22968	3907595,619739992	0,0398755787037037	12410,371862547503	12064,6054060358
43	25	23163	1014946,0418879148	0,04021412037037037	12268,427922491996	12010,682663938258
44	25	21474	1219826,6044150172	0,03728240740740741	12236,174874646875	11974,797615660713
45	25	20495	2504504,8021546677	0,03558275462962963	12212,010615120918	11913,604667084248
46	25	18990	2571742,973049246	0,032969328703703706	12189,019778679552	11856,85360425302
47	25	17752	2915558,6669959067	0,030820601851851852	12100,12628824646	11800,433550880647
48	25	18839	2842259,846983912	0,03270659722222222	12155,371648370781	11781,188955572134
49	25	16622	2532235,042480307	0,028857638888888888	12052,435923908022	11751,260002500627
50	25	18576	6565341,924478221	0,03225115740740741	12102,43248370378	11717,60208243251
51	25	20139	1530483,8044259485	0,034964699074074075	11950,266684311819	11692,224767922142
52	25	21388	3722039,455201316	0,03713194444444445	11980,037619042152	11653,622792550568
53	25	18496	2172374,3333769864	0,03211226851851852	11907,485333095587	11636,793449797684
54	25	15829	2906234,9709864086	0,02748148148148148	11886,859285265577	11561,758964544048
55	25	16127	2428709,4284894005	0,027998842592592593	11812,044984813607	11536,195263831025
56	25	17044	1942315,3261383807	0,029591435185185186	11845,394677211543	11497,719967220217
57	25	15586	2153501,9786402117	0,027060185185185187	11763,598240566955	11420,333352266782
58	25	15926	5904626,33740608	0,027649884259259263	11836,036844730435	11402,209885570648
59	25	15400	3787439,547711471	0,026736689814814817	11722,082552491263	11388,251426675351
60	25	15510	801159,4317742974	0,02692824074074074	11572,289691051776	11377,458706518402
61	25	16557	2929183,157763028	0,02874479166666667	11719,764095886261	11362,521724848817
62	25	15448	1460389,2729482006	0,026820023148148145	11592,98072349642	11357,921017035202
63	25	16634	3289536,1036865916	0,028879629629629634	11674,276857036055	11342,385991637486
64	25	16907	1259325,8437685827	0,029352430555555555	11588,176459839713	11339,796618718052
65	25	17466	3254378,6204991913	0,030324074074074076	11564,75313033021	11293,181911336314
66	25	18195	1392186,2122575005	0,03158912037037037	11523,106615125282	11277,034585646179
67	25	16919	1847246,019228111	0,029373842592592594	11525,485015785807	11248,995272728595
68	25	17261	2076920,3889120119	0,029967013888888894	11493,950850997717	11240,351612525688
69	25	17651	1685039,019159559	0,030644097222222222	11483,735352633143	11225,750303315006
70	25	17595	1334411,952801293	0,030548032407407406	11462,925536639645	11208,498407568082
71	25	16337	4555131,328002288	0,028364004629629635	11551,561619360224	11181,679378534345
72	25	17785	1224492,7140163516	0,030877893518518523	11397,914112776924	11169,5591606464
73	25	17991	1725499,7286553998	0,031234374999999998	11443,010908802638	11145,262686908509
74	25	17688	2913817,718113847	0,030709490740740742	11462,259400844274	11121,712073766668
75	25	16882	2349407,650163792	0,02930960648148148	11357,092199948049	11107,67106142733
76	25	17290	1650154,0875062353	0,030017939814814817	11345,467899396846	11087,786905988847
77	25	18897	1770917,4285056132	0,03280729166666666	11333,107741841455	11037,548077993686
78	25	18064	2384960,0772932754	0,03136226851851852	11321,084802387244	11019,462090895757
79	25	15352	2912436,760106864	0,026652777777777775	11285,674380653947	10998,539331638227
80	25	15749	1090595,9257045104	0,027342592592592595	11200,619292204741	10989,138286823514
81	25	15471	1411856,0008624997	0,026859375	11158,817694821053	10974,58121821849
82	25	14690	1916933,9193840504	0,025504050925925923	11146,433622671024	10947,291162644911
83	25	14919	514148,95899830974	0,02590162037037037	11072,59962801901	10911,651003161795
84	25	13915	7898872,860926154	0,024158564814814817	11252,601044100453	10898,289034469806
85	25	14885	2795701,59225272	0,02584201388888889	11140,237238056952	10862,057180355208
86	25	14649	2599160,4702374754	0,02543287037037037	11108,195550456561	10845,020473353166
87	25	15828	4022611,3864322905	0,02748032407407407	11128,600596213748	10829,041160386203
88	25	15567	1065217,258013701	0,02702719907407407	11052,559950633098	10824,244928617194
89	25	14695	541452,893170386	0,025513310185185184	10965,495784152561	10808,779297294734
90	25	15575	1,2089492827429006E7	0,02704050925925926	11203,234316757951	10786,918187858273
91	25	14895	6534709,994862358	0,025860532407407405	11078,924721120004	10763,796665814078
92	25	15064	3148831,355839805	0,026153935185185186	11040,033294740033	10738,087643891105
93	25	13378	3529434,422909237	0,02322685185185185	11016,715581197923	10722,893743961036
94	25	13450	1853583,9917092107	0,02335127314814815	10925,039249622341	10693,060005392354
95	25	15678	1701658,1136699978	0,027219328703703704	10923,541864325607	10658,610708992559
96	25	15450	558657,2303394963	0,026824074074074073	10791,53152993254	10645,369374851502
97	25	13924	2725869,2431560447	0,02417418981481481	10883,386384589341	10636,163546031674
98	25	10926	2118977,0035032826	0,018969907407407408	10881,253444696124	10622,110781335708
99	25	11140	4629940,435447936	0,019341435185185187	10949,319622767822	10602,898163430254
100	25	11957	925470,2821410497	0,02075925925925926	10819,838166521076	10600,413233501384
101	25	12384	1683183,1194333555	0,021501157407407406	10824,622675203997	10585,38268009119
102	25	11803	2063000,8407692555	0,020491319444444447	10832,20529876491	10579,605451006386
103	25	13088	1135939,211491823	0,02272337962962963	10795,410321993606	10566,184408853514
104	25	14142	1467456,2728948605	0,02455324074074074	10802,547163489546	10545,133532072323
105	25	13748	5602764,640742034	0,023868634259259263	10813,377950156546	10517,68602347861
106	25	12993	1567874,5191347946	0,022557291666666663	10759,81069170827	10504,661694838747
107	25	14633	3328588,646361029	0,025404513888888886	10815,4607292302	10492,752934944934
108	25	15537	1422565,5557948009	0,02697511574074074	10703,741925273709	10484,756929459545
109	25	13041	1628631,744738494	0,022640624999999998	10739,960947843001	10468,64572955035
110	25	14196	2727867,073265281	0,02464699074074074	10704,315084651531	10447,031974319645
111	25	15414	1326461,3029618096	0,026761574074074077	10680,187333226968	10433,156838381814
112	25	12917	3456820,484633989	0,02242534722222222	10744,440984296984	10422,390046464485
113	25	13875	1222651,5501933247	0,024089120370370375	10607,310025922081	10399,07407412294
114	25	14589	1513353,4087152074	0,025328124999999996	10650,957788819052	10392,84653437826
115	25	13814	2975739,9146689973	0,023983796296296295	10699,970673699228	10382,026752124684
116	25	12960	671590,9805226207	0,022500000000000003	10572,586469763366	10376,776369744777
117	25	15643	1406449,0094659075	0,02715914351851852	10599,967589332404	10369,229879792523
