Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	430171	2,209238728840952E7	0,7468246527777778	20982,73661896023	19264,96887558597
1	25	241468	5680822,009058158	0,4192152777777778	19482,141682614216	18422,06609473254
2	25	135918	7227239,217648554	0,2359693287037037	18663,318882061227	17477,171320361576
3	25	100557	6148381,315555657	0,1745792824074074	17759,224888205106	16951,852093789134
4	25	61164	2767556,2512742276	0,10618807870370368	17198,549432211756	16698,184079778715
5	25	60283	4711814,786814657	0,10465914351851852	16980,369404669178	16439,06731840823
6	25	46093	4707922,19957571	0,08002314814814815	16719,09383026358	16186,327210843761
7	25	43222	2697326,6132444316	0,07503819444444444	16453,418451672285	16034,722471333691
8	25	38792	1705417,964814165	0,06734780092592592	16313,234875905253	15908,943261475293
9	25	36656	3032296,4291039626	0,06363946759259259	16224,099228532561	15816,159343722475
10	25	31678	4732587,378886243	0,054996527777777776	16151,071462234539	15689,010720635955
11	25	28837	2841185,9272184945	0,05006481481481482	15956,083650018032	15561,974160578235
12	25	30169	1550209,069285648	0,052377314814814814	15792,096957499365	15430,573797443727
13	25	25872	4234668,171032167	0,04491724537037037	15673,33360510949	15295,574656944947
14	25	27828	3737410,3375706333	0,0483125	15588,85861877656	15099,738564929512
15	25	29216	3121369,348046443	0,05072337962962963	15398,395886325035	14885,613142864911
16	25	27691	2141539,449716535	0,04807523148148148	15164,427126227267	14795,460436675008
17	25	23656	2895709,2888612296	0,04107060185185185	15093,464336250507	14700,392513440873
18	25	25122	2225845,954105176	0,04361516203703703	14974,155426409192	14653,798602161964
19	25	27764	1987768,854148809	0,04820196759259259	14899,496514935357	14511,812243856317
20	25	26107	3261128,450111627	0,04532581018518519	14867,457438785583	14462,964660858095
21	25	27140	2980848,3020471497	0,047118634259259266	14775,2520364366	14342,30609340383
22	25	27001	4242516,649000476	0,046876736111111116	14649,384972043526	14275,262645704512
23	25	27255	1491336,1505355008	0,04731770833333334	14477,668154359388	14178,919325899567
24	25	29330	3939476,948939562	0,0509212962962963	14509,038845931282	14106,068545238226
25	25	29702	1943321,0497849204	0,05156597222222222	14347,455752902397	14034,686815531131
26	25	29081	3648408,7981761605	0,05048842592592593	14342,435219864425	13953,311697539844
27	25	30109	2267474,975463457	0,052272569444444444	14175,60925992454	13715,516455094577
28	25	25614	2086152,689950282	0,0444693287037037	13999,91038575776	13686,696069254687
29	25	22736	1343804,9113608515	0,03947337962962963	13908,752741687242	13613,036834129729
30	25	22241	1734311,7847029024	0,038612847222222225	13897,096825822582	13512,740824594932
31	25	22776	1629281,5395992824	0,03954224537037038	13832,052937433398	13466,534824199012
32	25	21806	2262824,617677393	0,03785821759259259	13787,649659039938	13403,79588163207
33	25	21933	3631333,91101582	0,0380787037037037	13717,85523248427	13352,888887318195
34	25	22559	2602755,2792267012	0,03916550925925926	13619,781489779343	13257,920501127539
35	25	24607	2805906,8557253317	0,042721643518518516	13616,211898051639	13212,96921886477
36	25	27844	2670108,323161496	0,048340277777777774	13527,953825294482	13067,649455708704
37	25	25497	2520545,7089141556	0,04426678240740741	13441,209045850721	13021,444789914625
38	25	23374	3461091,898849161	0,040581018518518516	13366,529247033965	12952,475738906964
