Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	303860	2,8005649329452984E7	0,5275361111111112	21204,468418283504	19791,7055834623
1	25	57010	3151323,0265723714	0,09897604166666667	19920,542770922366	19185,017292142165
2	25	35655	1530220,050000639	0,06190104166666667	19302,5935267174	18901,118923783673
3	25	29383	1756121,5700073217	0,05101284722222223	18971,230614657066	18462,623553662976
4	25	18677	1246339,4989316142	0,03242673611111111	18559,615328412543	18247,85274847533
5	25	14636	975118,990409494	0,025411111111111113	18340,994888332323	17947,69444682384
6	25	11112	1052422,1414167765	0,01929166666666667	18073,10341859325	17818,65942784447
7	25	12837	574222,0642060225	0,022286805555555553	17845,12056630651	17505,837755760247
8	25	12949	1407467,3997649269	0,02248125	17697,068334206877	17267,50263939243
9	25	11757	999981,7535421199	0,020411805555555558	17418,855419211894	17090,826898499872
10	25	9880	801104,3892288136	0,01715416666666667	17200,076811074236	16910,906651796235
11	25	8806	696476,2146522101	0,015289583333333334	17018,154198718465	16794,342793071824
12	25	8861	763358,2277311828	0,015383680555555557	16888,39850704996	16645,789572816317
13	25	9356	418935,0589661993	0,01624340277777778	16732,774483100493	16556,159855192418
14	25	9565	1228312,8057872087	0,01660625	16681,234303799323	16411,520486798498
15	25	9220	737997,2413766154	0,016008333333333333	16494,168750132223	16311,28101665238
16	25	9900	945520,1698762322	0,017188194444444443	16412,862703217514	16186,868923013473
17	25	9850	1296499,8764495912	0,017101041666666667	16298,659427323315	16043,167619926626
18	25	9552	977320,2740708773	0,016584027777777777	16167,194621557608	15910,316619010739
19	25	9048	1043682,269123362	0,015709374999999998	16049,78632250172	15818,779080030577
20	25	9314	718865,7757579321	0,016170138888888887	15907,210384260663	15676,736016745435
21	25	8888	928691,1008503124	0,015430902777777778	15779,45268204374	15588,985779757151
22	25	9313	1175501,6023606374	0,016169444444444445	15723,707327188275	15492,186475066457
23	25	8295	998527,2668965735	0,014401041666666666	15616,632312985155	15429,186854436197
