Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	324900	2,46579752183263E7	0,5640635416666667	21454,99101625083	20051,058543834686
1	25	127736	1,2682815941466346E7	0,2217642361111111	20544,624057123096	19639,230465362405
2	25	34853	1971370,935221389	0,060509722222222215	19790,00673574054	19353,056329755018
3	25	22648	1129217,7160814167	0,03932083333333334	19454,938985398436	19094,687637471805
4	25	14305	1354855,5170995754	0,02483611111111111	19226,211515931493	18801,876258368466
5	25	8975	3732472,8242381313	0,01558298611111111	18972,177572966397	18570,078510003175
6	25	7719	658023,4885799343	0,013402083333333334	18652,779548476454	18342,163434673967
7	25	8373	986595,2924416907	0,014536458333333335	18431,341345979312	17977,864612445686
8	25	8460	806023,4084534353	0,014688888888888887	18054,55835191572	17733,517495840704
9	25	8714	609906,78943578	0,015128819444444445	17813,04531578219	17487,75688278821
10	25	9082	1674547,7771234214	0,015768749999999998	17625,428227007586	17260,86031713045
11	25	9706	755341,399935235	0,016852083333333333	17357,41845869106	17112,992494527232
12	25	9518	483938,27661260625	0,016525694444444444	17196,479679425604	16978,2815073765
13	25	8379	324222,711621683	0,014546875	17031,886290458624	16813,908380487646
14	25	9115	778772,5607432632	0,015825	16924,138564645524	16726,8808661137
15	25	9064	822864,8007768487	0,015737499999999998	16842,56669035495	16632,500533989638
16	25	9577	583219,4169779836	0,01662673611111111	16706,828506975093	16471,447112175658
17	25	9535	312569,291330084	0,01655486111111111	16547,009840057617	16345,66269634045
18	25	9241	1434040,8931028945	0,016043402777777778	16475,906657979416	16192,637573548549
19	25	9746	1772314,2011627457	0,016920486111111112	16309,079858615773	16089,53556439713
20	25	9816	959965,0460246553	0,01704201388888889	16183,413863697477	15930,858916173142
21	25	10055	798450,5495677401	0,01745694444444444	16055,255452943733	15844,199049307223
22	25	9182	760714,0310828388	0,01594201388888889	15974,96790818694	15752,298209324552
23	25	11114	2297335,2259355644	0,019295833333333335	15907,711195642512	15630,041456687934
24	25	9458	1414389,965172325	0,016420138888888887	15780,699613845416	15545,136959766689
25	25	8327	1263056,2334468681	0,014456597222222223	15689,17013935007	15507,536322910932
26	25	8147	825838,9525622436	0,014144097222222221	15605,85634099585	15385,382363174847
27	25	8271	576212,8884301661	0,014359375000000002	15492,032629167219	15288,044083286382
28	25	9426	503275,8455900156	0,016365972222222223	15385,625908983226	15210,59388928599
29	25	8140	651303,5260521913	0,014133333333333335	15308,827631254497	15168,685526663594
30	25	7882	878746,4850351305	0,013685416666666667	15282,502331138428	15081,093619901945
31	25	8053	597053,9443292976	0,01398125	15167,174445347875	14950,883664442483
32	25	8461	688650,7093970494	0,014689236111111111	15068,381632246139	14873,28989161907
33	25	8391	899090,977211417	0,014568402777777777	14994,98629470896	14783,826279863537
34	25	9468	570952,710791662	0,0164375	14885,561475458355	14719,112611069697
35	25	8656	991035,9303255279	0,015028125	14838,130435421428	14631,981809794514
36	25	9372	640055,2669405268	0,016271527777777777	14759,083778889859	14561,441338696855
37	25	8276	592016,858232221	0,014368402777777779	14668,087832895317	14499,491033085942
38	25	7732	914988,2529113125	0,013423611111111112	14622,783200907807	14427,773421406931
39	25	8475	544660,406961651	0,014714583333333333	14522,312245722806	14365,949160841648
40	25	8650	504561,26061850303	0,015017708333333334	14456,54973960194	14277,726363515365
41	25	9063	1001519,8935072751	0,01573472222222222	14391,746037302848	14196,739010162652
42	25	8199	973267,7982247028	0,014235069444444446	14354,69808582887	14162,115695687147
43	25	8343	778303,8815697841	0,014484375000000002	14286,036778490918	14139,495560157748
44	25	10024	7324656,3148383675	0,017403472222222223	14350,193744482214	14045,102852007785
45	25	9664	482326,82634114334	0,016778124999999998	14155,116093824656	14011,883951993635
46	25	8117	741595,668012319	0,014093402777777778	14143,570188835036	13962,275179516251
47	25	8362	648860,2166272739	0,01451875	14074,651614989847	13903,967529647693
48	25	8785	1680672,25296691	0,015253124999999998	14055,711351446542	13856,866682376665
49	25	9275	570820,2831829487	0,016103472222222224	13954,264948033364	13822,114985110555
50	25	10245	636203,6752244378	0,01778645833333333	13931,68272376239	13771,926106277
51	25	9462	669109,6954979216	0,016428125	13878,677702305798	13734,313054298163
52	25	8905	732583,8491054166	0,015460069444444443	13840,065023467818	13676,559941986121
53	25	8555	425533,0747715196	0,014853125	13773,78478842164	13635,696386538839
54	25	8458	815956,858292599	0,014684375	13727,514289714472	13585,432692752825
55	25	10091	590747,9167868814	0,01751944444444444	13706,556066911779	13558,494545926547
56	25	9952	1429319,0684404622	0,017277777777777777	13692,061432333267	13513,157300036604
57	25	9336	1142872,0300440222	0,01620833333333333	13676,109079246624	13490,671886433858
58	25	8700	1271240,2079265364	0,015105208333333333	13639,574079876838	13425,479196026083
59	25	9534	1056471,0063363486	0,016552083333333335	13575,417237622401	13394,440387896717
60	25	8444	1706156,815911668	0,014660416666666667	13534,13886152596	13353,252460450061
61	25	8222	810936,9154418076	0,014275347222222224	13484,124500010474	13335,446413123947
62	25	8414	1585854,2961738775	0,014608680555555555	13486,066610615619	13296,693284148918
63	25	8253	2451271,4519271594	0,01432951388888889	13431,87213131664	13245,79992422364
64	25	7819	600731,8334141277	0,013575	13360,58525353867	13228,243860178622
65	25	7876	390971,5584066919	0,013674305555555554	13315,344806964238	13178,469248325646
66	25	8909	624231,7736035713	0,015467708333333335	13282,297349872275	13119,100067299874
67	25	8216	725301,2462554326	0,014264583333333336	13271,3007183471	13071,112861715501
68	25	8316	895397,417402002	0,014438194444444444	13214,87870100224	13053,502256167765
69	25	8780	1067341,6613176572	0,015244444444444444	13190,537515831547	13031,944869968673
70	25	8631	563007,9861419613	0,014984722222222224	13127,820249358647	12995,2436956816
71	25	8930	805638,8433030051	0,01550416666666667	13109,129901177852	12941,018303376255
72	25	9193	3152988,9166892413	0,015960069444444443	13151,320877160795	12913,455940796004
73	25	8740	485892,08008066996	0,015174305555555555	13015,214160353664	12866,133153966373
74	25	8248	1209073,3121174022	0,014319791666666668	13026,968568878974	12843,784274777918
75	25	7256	1622433,216635738	0,01259861111111111	13006,281028627152	12795,22118265676
76	25	8526	966135,6176119637	0,014802083333333335	12923,56413203283	12770,349963196073
77	25	8331	1589596,1661029053	0,014464583333333333	12932,207071123532	12743,45957738384
78	25	8471	2201809,030158811	0,014707638888888892	12916,759827278007	12717,21666764362
79	25	7640	1326628,6874719295	0,013265277777777779	12840,823180717784	12673,436317644506
80	25	8628	1323438,0192700443	0,014980555555555558	12801,553816683621	12637,677946612901
81	25	10335	411010,5723875805	0,017943402777777777	12743,741560501194	12618,343629608127
82	25	10676	863723,4173512437	0,018535069444444444	12760,474180065032	12591,93075584115
83	25	9737	996998,4081242224	0,01690451388888889	12717,055859221127	12581,983096344171
84	25	8662	1413030,2801534676	0,015038194444444444	12729,121578926437	12516,416156488955
85	25	8511	1027320,2329583801	0,01477638888888889	12671,128104795851	12500,379354210434
86	25	7715	1176813,7965276048	0,013394097222222224	12677,095318951327	12458,37228186284
87	25	9297	787310,840410794	0,01614201388888889	12589,914443738462	12428,868775744924
88	25	9492	1784750,392517065	0,016479861111111112	12600,17392797437	12403,005392887131
89	25	8421	1737753,7384839423	0,014620833333333333	12585,246223073013	12385,475350704603
90	25	8477	777380,3716436268	0,01471736111111111	12491,363329264259	12359,05184168689
91	25	7992	1619414,4514543752	0,013874999999999998	12529,610051877518	12337,924997608
92	25	8302	1014879,3207157373	0,014414583333333333	12490,832632081778	12323,647644852043
93	25	8509	739818,2731800467	0,014773611111111112	12429,128362606143	12295,125480802455
94	25	8984	1681231,4210123927	0,015597222222222224	12448,15845808887	12277,252225813774
95	25	9287	890931,7546705942	0,01612465277777778	12394,150529789538	12257,704443078124
96	25	9207	1327788,5695814537	0,015985069444444444	12419,697356879016	12239,41353830101
97	25	9147	5201763,415937586	0,015880208333333333	12461,19945229541	12221,913783932225
98	25	8326	1282392,1671877906	0,014454861111111111	12392,526386696412	12204,68790189188
99	25	9069	1827309,8062643665	0,015744791666666667	12366,486140307312	12189,485385740216
100	25	8692	939818,5942311945	0,015090625	12319,460683088346	12155,101414636889
101	25	9750	745410,4119256296	0,016927430555555557	12266,262823316854	12119,615907823169
102	25	9431	1218187,0521123935	0,01637430555555556	12266,62950398853	12097,23362315995
103	25	8884	826310,9682286931	0,015423958333333331	12237,625082862904	12081,018020599193
104	25	9051	1045449,7192366909	0,01571388888888889	12213,326873127258	12050,059629785814
105	25	9454	1576233,5362657995	0,016413194444444442	12243,389335893517	12018,673322018305
106	25	9841	920698,7932847813	0,017085416666666665	12164,507334031683	12009,302646180031
107	25	7865	732134,16682512	0,01365451388888889	12129,287136318479	11995,67257916446
108	25	8030	1808852,7142494568	0,013941666666666666	12158,048768044526	11966,829513762623
109	25	8476	3729282,3133428693	0,014715972222222224	12122,204369009682	11941,869737441437
110	25	8723	994562,509023843	0,015145486111111111	12067,929583121586	11923,683206470378
111	25	9225	1347742,6247007337	0,016016319444444444	12088,079757327145	11903,743029032335
112	25	7541	1264305,1861468037	0,013093055555555556	12049,252180347257	11887,482089727597
113	25	8300	1011910,4947028408	0,014410416666666667	12030,010110865458	11871,338761272771
114	25	9593	1467390,7325572143	0,016654861111111113	12037,22866007494	11835,14460110364
115	25	9241	2981650,247782302	0,01604375	12055,408403472762	11825,750021773678
116	25	7126	910954,559354683	0,012372222222222224	11990,852783984292	11816,048960924822
117	25	7266	2177139,798145721	0,012614583333333332	12004,914256755917	11805,73783725293
