Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	328274	4,77798050300951E7	0,5699211805555555	21308,496719865252	19856,22341090677
1	25	137450	9914767,059019584	0,23862881944444445	20213,10149415917	19360,821496408927
2	25	32187	2416721,790685349	0,055881597222222225	19488,52047974591	18959,561828590195
3	25	34205	3703613,499790325	0,05938402777777778	19199,180474520206	18677,4068002238
4	25	17297	1593518,6340072458	0,030030208333333336	18768,742963443532	18384,89516927048
5	25	16859	1757629,0830437765	0,029269791666666666	18515,121007224203	18007,236658066504
6	25	18535	3071969,9793465314	0,03217916666666667	18242,461558407293	17703,973615604715
7	25	9451	1562368,5924917848	0,016408680555555555	17820,2300403597	17456,362870312973
8	25	8409	1088389,3472847678	0,014600347222222221	17572,508248597198	17298,34866023924
9	25	9160	834475,0347159822	0,01590416666666667	17385,01623898659	17065,90679372891
10	25	9911	750127,6916136193	0,01720798611111111	17145,943962237663	16812,80628591309
11	25	8555	1027773,4464366704	0,014852777777777779	16908,88014236116	16624,576199249015
12	25	9854	842546,3653399704	0,017108333333333333	16728,54659258314	16452,698332326137
13	25	8179	686323,2670152928	0,01420034722222222	16550,59096654941	16309,483369482146
14	25	9048	619554,7509554239	0,015708333333333335	16391,281482002836	16204,643851657933
15	25	9546	670789,9190563075	0,016573958333333333	16315,232013425592	16024,444831198858
16	25	9438	1098277,4153939479	0,016386111111111108	16162,810590610592	15845,916592759313
17	25	8613	977206,3453431682	0,014953472222222222	16002,954394322058	15754,789318459521
18	25	8638	1709456,4018694884	0,014997569444444445	15904,825366355732	15612,575052866852
19	25	8675	1169808,7853309703	0,015062152777777778	15752,42339206261	15494,92671782327
20	25	7528	523480,6327650008	0,013069791666666667	15583,116431370256	15391,189054264123
21	25	8475	2724600,2787356894	0,014713541666666668	15540,654964682815	15309,5858781159
22	25	9922	563044,6317891463	0,017226041666666664	15414,487061542346	15211,58689719616
23	25	10562	1878521,1205872775	0,0183375	15320,694049068585	15091,558679846774
24	25	9391	2630949,6470059548	0,01630451388888889	15247,000370240767	14974,566291873114
25	25	9743	823167,5538094227	0,016914930555555558	15103,51272856809	14878,10302106191
26	25	9568	1437172,661646055	0,016611458333333332	15048,871348398892	14812,479829750131
27	25	8888	1273368,239821422	0,015430902777777778	14928,288544903417	14702,937273002259
28	25	10468	860455,8498612881	0,01817361111111111	14825,985346319832	14567,463071592534
29	25	9451	1241744,7980134345	0,01640902777777778	14718,038593317318	14474,213675229412
