Generation 	 PType 	 Hamming Distance 	 PVariance 	 Hamming Distance Ratio 	 Avg Fitness 	 Best Fitness 
0	25	325607	1,1126517324830528E7	0,5652902777777777	20814,42488423974	19728,518536479285
1	25	153942	2807234,0660639266	0,26726145833333337	19880,98599707638	19266,847933932586
2	25	44613	2307374,96766787	0,07745381944444445	19439,544096623264	18854,19763999471
3	25	14864	2069588,0080860406	0,02580590277777778	19007,112479505027	18659,955289961606
4	25	15783	630658,808252658	0,02740104166666667	18748,66559457394	18471,22720423944
5	25	10853	1359033,8218990392	0,018842013888888887	18557,9989110844	18211,36940499518
6	25	9407	1010519,4876634988	0,016331944444444448	18321,044826097797	17949,01733851128
7	25	10288	746043,5581748605	0,017861111111111112	18027,54600744765	17788,91257895828
8	25	9823	1299520,0719952562	0,017055208333333335	17883,937146640772	17466,270364653632
9	25	10037	2266951,677599789	0,01742673611111111	17619,90557632806	17290,400826366968
10	25	9059	511609,11477198394	0,015728472222222224	17361,766378786186	17161,713596749963
11	25	8382	715233,1413248752	0,014553125	17239,51944819036	16979,43500765803
12	25	9101	2125743,234487083	0,015800347222222223	17146,286445504495	16775,700272110473
13	25	8722	670508,5789305249	0,015143750000000001	16891,079474037815	16711,77162927735
14	25	8582	945647,5736628033	0,014900694444444446	16812,660033024855	16536,13753871278
15	25	9288	664277,0390874725	0,01612638888888889	16628,000959596877	16377,857599424373
16	25	9024	1593182,1019667247	0,01566736111111111	16508,023108431913	16279,970345688762
17	25	9522	439225,7455470526	0,016531597222222222	16350,169392175278	16126,49367904133
18	25	9095	1436813,1712581404	0,015790625	16251,959601524617	16004,145805623528
19	25	9350	3549521,5467939293	0,016234027777777778	16182,539056711656	15890,271433129263
20	25	9405	1233195,487334498	0,01632951388888889	15995,826670755263	15821,757649703106
21	25	8636	1794943,0979017548	0,014994097222222221	15925,191206818461	15732,655868865675
22	25	9314	253641,57860337134	0,016171180555555557	15802,25624777507	15671,029247104467
23	25	9601	707293,4598657113	0,016669097222222224	15771,66135716328	15558,602350713956
24	25	10133	533769,8837497339	0,017593055555555556	15643,531107347604	15441,745133891352
25	25	9720	1415848,7808843027	0,016876041666666668	15569,418164860119	15377,655486896134
26	25	10203	787500,5255624156	0,017713541666666662	15494,67202001953	15342,89914223492
27	25	9780	2200630,0899229096	0,016980555555555554	15460,696276137096	15265,092891371954
28	25	9207	752448,0519012873	0,015985416666666665	15380,13359728717	15209,257856967244
29	25	7959	663391,1669373247	0,013818055555555556	15301,47769197306	15140,352093323381
30	25	8349	2362269,739075401	0,014495833333333333	15323,112893343554	15073,655999653205
31	25	8054	446735,23825181334	0,013982638888888888	15149,533357746526	14999,191863851514
32	25	9302	1116472,6007222184	0,016149305555555556	15136,26164548979	14927,065077944571
33	25	8890	1031170,092864361	0,01543402777777778	15047,016294239507	14815,314401521613
34	25	9406	1360773,1653643728	0,016330902777777778	14941,823376200759	14744,988717112832
35	25	9867	945201,7143334998	0,017131249999999997	14866,603966349929	14683,90548517601
36	25	9372	2492413,1736093303	0,016271180555555553	14839,417122649387	14642,619946367553
37	25	8622	2708782,196785106	0,01496875	14798,623733606542	14569,511119875522
38	25	9029	226013,54749063574	0,015676388888888886	14650,132294595012	14531,11744468704
39	25	8992	697088,880110699	0,015611458333333333	14642,23712000925	14478,836927742503
40	25	7973	1075459,766948875	0,013843402777777777	14582,10785656483	14440,183485218702
41	25	8597	1122139,4215656049	0,014925694444444443	14562,974328310298	14377,715135477018
42	25	8359	408506,57518735004	0,014513194444444443	14475,048348983259	14326,034526766996
43	25	8498	1094848,6455063643	0,014754861111111111	14433,313720594806	14292,798763306651
44	25	8531	352019,3387727255	0,014810763888888889	14367,308228886488	14259,361082526175
45	25	9130	1307046,37042059	0,01585173611111111	14409,053149046307	14204,795030898042
46	25	8080	1509849,9189311988	0,014027777777777778	14350,761381957589	14165,220551979495
47	25	8404	1852692,2759479873	0,014590277777777777	14294,62362937979	14129,598247864527
48	25	8848	293507,6561102116	0,015361805555555556	14203,968131528029	14075,990794989431
49	25	9868	558669,7518059126	0,017132986111111113	14191,760142269846	14027,288356660192
50	25	9263	1565181,3488140414	0,016082291666666665	14173,973840202316	13990,040502097287
51	25	9192	772904,033615044	0,015959722222222222	14089,940861675967	13942,415376438154
52	25	9148	698333,2670706913	0,015881944444444445	14052,940586892884	13904,337673386402
53	25	9360	1999609,5385840586	0,016251041666666667	14043,77333073283	13869,995764265335
54	25	10354	607882,7595881043	0,01797638888888889	13973,180727361123	13816,205796574319
55	25	10875	1876286,8777246247	0,018881250000000002	13988,396323746338	13774,13766909053
56	25	10441	602416,5789082983	0,018127083333333332	13901,410670253832	13749,521089107444
57	25	9365	3522588,5680269413	0,01625902777777778	13922,006939912855	13673,944416168244
58	25	8898	644249,4737603643	0,015448958333333332	13802,783483727579	13623,840330748446
59	25	8174	433705,22586696286	0,014192361111111112	13729,345186152606	13599,28450470194
60	25	8859	776849,4687622184	0,015380902777777778	13695,31052816484	13532,26604174788
